INS1,INS2,INS3,INS4,INS5,STUD1,STUD2,STUD3,STUD4,STUD5,TECH1,TECH2,TECH3,TECH4,TECH5,SUP1,SUP2,SUP3,SUP4,ELU1,ELU2,ELU3,ELU4,Gender
4,4,4,4,4,4,5,5,4,4,5,5,5,4,4,4,4,4,4,3,5,4,4,Pria
2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Pria
5,2,5,5,5,2,4,5,2,5,3,5,4,5,4,4,5,5,5,2,5,5,4,Wanita
4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,Pria
4,5,4,5,4,5,4,1,5,5,4,4,5,4,5,5,4,5,4,5,2,5,5,Pria
3,4,4,3,3,3,4,5,4,4,3,5,3,3,4,2,3,4,4,3,4,3,3,Wanita
4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Pria
4,4,4,4,4,2,3,4,3,4,2,4,3,5,4,2,4,4,4,2,4,3,3,Wanita
4,3,3,3,3,3,4,2,3,3,3,4,3,4,3,3,3,3,3,2,2,3,3,Wanita
3,4,3,3,3,3,3,3,4,3,3,4,3,3,3,2,3,3,4,3,3,3,4,Pria
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,Wanita
3,3,4,4,4,2,5,3,3,3,2,5,4,3,3,3,3,3,4,3,3,3,3,Pria
4,3,5,4,5,3,4,1,4,5,3,4,3,4,4,4,5,3,5,5,5,5,4,Wanita
4,2,4,3,3,2,4,4,2,3,3,3,2,3,2,3,2,3,2,3,4,2,3,Wanita
4,4,5,4,4,4,4,2,4,4,3,4,4,4,4,3,3,4,3,4,4,4,4,Wanita
3,2,4,3,3,3,3,4,3,3,3,3,3,2,2,3,3,3,2,2,3,3,3,Wanita
2,3,3,2,2,2,4,4,4,3,3,3,2,2,3,3,2,4,3,4,2,3,3,Pria
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,Pria
3,3,4,3,5,4,5,4,4,5,5,5,5,5,3,3,5,5,5,2,4,5,5,Wanita
3,4,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,4,4,4,3,4,4,Pria
3,3,2,3,2,3,2,3,2,3,3,4,3,2,3,4,3,2,3,3,3,4,3,Pria
3,4,4,5,5,3,4,3,4,4,4,4,4,4,4,3,4,4,4,3,2,3,3,Pria
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Pria
5,4,3,4,5,5,4,3,4,5,5,4,3,4,5,5,4,3,4,5,3,3,4,Pria
3,3,3,3,3,3,3,4,3,3,1,3,1,3,2,3,3,3,3,3,4,3,3,Pria
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,Pria
4,2,4,5,4,3,4,4,3,4,4,5,4,4,4,4,4,4,4,2,3,2,4,Pria
3,4,4,4,4,4,5,4,4,4,2,4,3,3,3,4,4,4,4,4,4,4,4,Pria
3,3,3,3,4,2,3,3,3,3,2,3,2,2,2,3,3,3,4,3,4,2,3,Pria
4,3,4,5,4,3,5,4,3,4,4,5,4,4,4,4,4,4,4,3,2,3,4,Wanita
4,4,3,3,4,2,4,4,4,4,4,4,3,4,3,3,4,4,4,2,2,3,3,Wanita
4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,Wanita
4,3,4,4,4,3,5,2,4,4,5,5,4,4,3,4,3,4,2,3,4,3,3,Pria
4,4,4,3,4,2,4,4,4,4,3,5,3,4,3,3,4,5,4,2,3,3,2,Pria
4,5,4,4,5,4,3,4,4,4,5,5,3,5,5,3,5,5,3,2,2,5,5,Pria
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Pria
4,4,4,4,4,3,4,2,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,Pria
3,3,2,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,4,2,2,3,Pria
3,4,4,3,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,5,3,3,Pria
4,4,4,4,4,3,4,4,4,4,3,4,3,5,4,5,4,4,4,4,4,4,4,Pria
3,3,4,3,3,4,3,5,3,4,1,3,1,3,2,3,4,3,3,2,4,3,4,Pria
4,5,4,4,4,3,4,4,3,4,2,4,3,4,4,3,4,4,2,3,4,3,3,Pria
4,4,4,4,4,3,3,4,3,4,3,4,3,4,3,3,4,2,3,3,4,3,3,Pria
4,3,4,3,4,3,3,4,3,3,4,4,4,3,4,3,3,4,3,2,2,3,3,Wanita
3,4,4,3,4,4,3,4,4,4,4,4,4,3,4,3,4,4,1,2,2,3,3,Pria
3,4,2,3,4,3,2,3,3,2,3,2,3,3,4,2,3,3,2,3,4,3,4,Pria
5,4,4,4,4,4,5,2,4,5,4,4,4,3,4,4,4,4,4,4,5,4,4,Pria
3,3,3,3,3,2,4,4,4,4,3,3,3,3,3,4,5,3,5,3,3,1,3,Pria
4,4,4,3,4,3,4,2,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,Pria
5,4,3,4,5,4,3,1,3,4,5,4,4,4,3,4,3,4,3,3,2,5,3,Pria
3,3,5,3,5,2,3,4,3,4,2,3,1,5,2,3,3,5,3,3,4,2,1,Pria
4,4,4,4,4,2,3,4,3,3,1,4,3,3,2,4,4,4,2,4,4,2,2,Pria
3,3,3,3,3,3,4,3,4,4,4,4,4,3,4,3,3,3,3,2,4,3,3,Pria
3,4,3,4,3,3,3,3,4,4,2,2,2,3,3,2,3,4,3,2,5,2,2,Pria
4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,4,Pria
4,4,4,4,5,5,5,2,5,5,5,5,5,5,5,4,5,5,4,5,3,5,5,Pria
2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,2,3,2,3,3,3,3,2,Pria
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,Pria
2,4,4,2,3,2,4,4,2,2,1,4,1,2,1,4,4,4,4,1,4,2,3,Wanita
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1,3,4,4,Pria
4,2,3,3,3,2,4,4,3,3,2,4,4,3,3,2,2,4,4,2,1,3,3,Wanita
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Pria
4,3,4,5,4,3,5,2,5,3,5,4,4,3,4,4,5,3,4,4,3,3,4,Pria
4,4,3,4,4,4,4,2,4,4,3,3,3,3,3,4,3,3,3,3,4,4,4,Pria
1,1,1,3,3,2,3,3,3,3,1,1,1,3,3,3,3,1,3,2,2,2,2,Wanita
4,4,4,4,4,4,4,2,4,4,1,2,1,2,2,4,4,4,1,5,3,4,5,Wanita
4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,Pria
4,4,4,4,4,4,4,2,4,4,2,4,3,3,1,3,3,3,3,3,2,3,3,Pria
4,2,3,3,3,3,4,2,4,4,2,3,2,3,2,3,3,2,3,3,3,3,3,Pria
5,4,5,5,4,5,4,2,5,4,4,4,5,4,5,5,4,5,5,5,2,3,4,Pria
4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,2,3,4,4,4,2,2,2,Pria
5,4,5,5,5,5,5,3,1,3,5,5,5,4,2,3,3,3,3,4,4,4,4,Pria
4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,5,2,4,Pria
4,4,4,4,5,4,4,4,5,4,4,5,4,3,4,4,4,5,4,5,4,4,4,Pria
5,4,4,4,5,4,5,4,4,5,4,5,5,5,4,3,4,5,5,2,3,4,4,Pria
5,5,4,4,5,4,5,4,5,5,5,5,4,5,5,4,4,5,5,4,2,4,5,Pria
5,5,5,5,5,3,3,4,4,5,5,3,3,3,3,3,3,5,3,1,2,3,2,Pria
3,3,3,3,4,3,4,2,3,3,4,4,3,3,4,3,4,4,3,3,2,4,4,Pria
4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,Pria
5,5,5,4,5,1,5,5,3,5,4,1,4,5,5,1,5,5,4,5,3,2,5,Pria
4,4,4,4,4,4,4,2,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,Pria
4,3,3,4,4,2,3,4,3,3,3,4,4,4,4,2,3,3,3,3,4,3,3,Pria
4,3,3,3,4,3,4,3,3,3,4,3,4,3,3,3,3,4,4,4,2,3,3,Pria
4,4,4,4,4,3,4,4,4,5,3,4,4,3,3,4,4,5,4,4,3,4,4,Pria
4,4,4,4,4,4,4,2,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,Pria
4,4,5,4,4,4,4,4,4,4,5,5,5,4,4,4,3,4,4,2,3,3,3,Wanita
2,3,3,3,4,3,4,4,4,4,5,4,4,3,5,4,3,4,4,4,5,3,3,Pria
4,4,4,4,4,4,3,4,3,3,3,4,3,3,3,2,3,3,4,2,3,3,3,Wanita
5,5,5,4,5,4,5,4,4,4,4,5,5,5,5,4,5,5,5,2,5,5,5,Wanita
3,4,4,4,3,3,3,5,3,3,3,4,4,3,3,4,3,3,2,2,3,2,2,Wanita
3,3,3,3,3,4,4,5,4,4,4,4,4,4,4,3,4,5,5,3,4,4,4,Pria
4,4,2,3,5,1,4,5,5,4,4,5,4,3,3,4,5,5,5,1,3,3,2,Wanita
4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,3,2,5,4,3,Wanita
3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,Wanita
5,4,5,5,5,2,5,5,3,5,4,5,5,4,4,4,5,5,5,2,2,4,5,Wanita
2,3,2,3,3,2,3,4,2,2,2,3,2,2,1,4,3,4,4,2,2,2,2,Wanita
3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,4,5,Wanita
2,2,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,4,4,2,4,4,Wanita
4,3,3,3,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,Pria
4,4,4,4,4,4,4,4,4,4,3,4,2,4,5,3,2,4,2,4,1,2,4,Pria
4,3,3,3,3,4,2,4,4,4,3,5,3,4,2,4,5,4,4,3,2,3,5,Pria
4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,3,2,3,5,Pria
4,2,2,2,3,4,4,4,4,5,4,4,4,3,3,3,4,3,4,3,2,3,5,Pria
